Code,Name,Price,Quantity
1001,Rice (Basmati),850000,45
1002,Flour (Wheat),300000,70
1003,Sugar,420000,50
1004,Cooking Oil (Sunflower),950000,30
1005,Salt (Iodized),70000,120
1006,Macaroni,250000,60
1007,Tomato Paste,600000,40
1008,Lentils,380000,80
1009,Chickpeas,400000,75
1010,Red Beans,390000,65
1011,Black Pepper,1500000,25
1012,Tumeric Powder,1200000,35
1013,Cinnamon Stick,1800000,20
1014,Baking Powder,230000,90
1015,Corn Flour,290000,50
1016,Canned Tuna,700000,35
1017,Mayonnaise,450000,40
1018,Ketchup,480000,45
1019,Mineral Water (1.5L),30000,150
1020,Soft Drink (Cola),250000,100
1021,Apple Juice,350000,60
1022,Orange Juice,360000,55
1023,Green Tea,980000,40
1024,Black Tea,950000,50
1025,Instant Coffee,2400000,20
1026,Hot Chocolate Mix,2100000,15
1027,Cheese (White),1300000,25
1028,Butter,900000,30
1029,Yogurt (Plain),750000,40
1030,Milk (1L),600000,60
1031,Eggs (Pack of 12),1100000,50
1032,Bread (Barbari),25000,200
1033,Bread (Sangak),30000,180
1034,Biscuits (Sweet),270000,55
1035,Corn Flakes,720000,35
1036,Peanut Butter,1350000,25
1037,Jam (Strawberry),850000,30
1038,Honey (Natural),3200000,15
1039,Dates (Mazafati),1500000,30
1040,Walnuts,4200000,10
1041,Almonds,4500000,10
1042,Raisins,1700000,20
1043,Olive Oil,2200000,15
1044,Pickles (Mixed),600000,25
1045,Vinegar (Apple),380000,35
1046,Pasta Sauce,750000,30
1047,Ground Beef (Frozen),1800000,20
1048,Frozen Chicken Breast,1600000,25
1049,French Fries (Frozen),850000,30
1050,Frozen Vegetables Mix,950000,30
